aya-expanse-32b	main:Q4_K_M	401	https://huggingface.co/CohereForAI/aya-expanse-32b-GGUF/resolve/main/aya-expanse-32b-Q4_K_M.gguf	manifests/snapshot/models/agents/aya-expanse-32b.json
aya-expanse-8b	main:Q4_K_M	401	https://huggingface.co/CohereForAI/aya-expanse-8b-GGUF/resolve/main/aya-expanse-8b-Q4_K_M.gguf	manifests/snapshot/models/agents/aya-expanse-8b.json
llama-3-bllossom-8b	main:Q4_K_M	200	https://huggingface.co/MLP-KTLim/llama-3-Korean-Bllossom-8B-gguf-Q4_K_M/resolve/main/llama-3-Korean-Bllossom-8B-Q4_K_M.gguf	manifests/snapshot/models/agents/bllossom-llama-3-8b.json
deepseek-r1-7b	main:Q4_K_M	404	https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B/resolve/main/DeepSeek-R1-Distill-Qwen-7B-Q4_K_M.gguf	manifests/snapshot/models/agents/deepseek-r1-7b.json
exaone-3.5-2.4b-instruct	main:Q4_K_M	200	https://huggingface.co/LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct-GGUF/resolve/main/EXAONE-3.5-2.4B-Instruct-Q4_K_M.gguf	manifests/snapshot/models/agents/exaone-3.5-2.4b.json
exaone-3.5-2.4b-instruct	main:Q8_0	200	https://huggingface.co/LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct-GGUF/resolve/main/EXAONE-3.5-2.4B-Instruct-Q8_0.gguf	manifests/snapshot/models/agents/exaone-3.5-2.4b.json
exaone-3.5-7.8b-instruct	main:Q4_K_M	200	https://huggingface.co/LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct-GGUF/resolve/main/EXAONE-3.5-7.8B-Instruct-Q4_K_M.gguf	manifests/snapshot/models/agents/exaone-3.5-7.8b.json
exaone-3.5-7.8b-instruct	main:Q5_K_M	200	https://huggingface.co/LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct-GGUF/resolve/main/EXAONE-3.5-7.8B-Instruct-Q5_K_M.gguf	manifests/snapshot/models/agents/exaone-3.5-7.8b.json
exaone-3.5-7.8b-instruct	main:Q8_0	200	https://huggingface.co/LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct-GGUF/resolve/main/EXAONE-3.5-7.8B-Instruct-Q8_0.gguf	manifests/snapshot/models/agents/exaone-3.5-7.8b.json
exaone-4.0-1.2b-instruct	main:Q4_K_M	401	https://huggingface.co/LGAI-EXAONE/EXAONE-4.0-1.2B-Instruct-GGUF/resolve/main/EXAONE-4.0-1.2B-Instruct-Q4_K_M.gguf	manifests/snapshot/models/agents/exaone-4-1.2b.json
exaone-4.0-1.2b-instruct	main:Q8_0	401	https://huggingface.co/LGAI-EXAONE/EXAONE-4.0-1.2B-Instruct-GGUF/resolve/main/EXAONE-4.0-1.2B-Instruct-Q8_0.gguf	manifests/snapshot/models/agents/exaone-4-1.2b.json
